nPU,central,down,up
0,3.7648285568403126,4.0729575560446465,3.4998554223546874
1,13.749963048876927,15.899119902910932,12.0072572224617
2,8.30488332631479,9.792489907324539,7.092460374519704
3,7.017524584273575,8.211117559176119,6.030470205959766
4,5.792457873582008,6.753341963759819,4.996972304365759
5,4.444399599740999,5.17823532326551,3.8495074120746886
6,3.3420800106219106,3.9511382632474232,2.8598493164759526
7,2.558933055332744,3.054015874739353,2.165522312816801
8,1.9825184223044583,2.381102894193717,1.6697591343602862
9,1.5854026134746138,1.9378474180216145,1.3199360539971585
10,1.3490739260427471,1.6817195187688807,1.1020513531464158
11,1.2190877442141594,1.5394986387820495,0.9809609835919307
12,1.152212905376766,1.4631505085871301,0.9191188258576275
13,1.1226612347723297,1.426256209167824,0.8931305787543732
14,1.117463291386387,1.4171159572165637,0.889479724991019
15,1.1306619379972778,1.4286873114053011,0.9018917908609312
16,1.157733282210977,1.4535026714042265,0.9270789499472525
17,1.1932989064412194,1.4825483771170316,0.9619185549366019
18,1.2306781208394055,1.505900786196,1.0023534447204987
19,1.2624172345975426,1.514484505301561,1.043234252125024
20,1.281652634981914,1.5027451719651905,1.0788193085402635
21,1.2840665373370803,1.4707699248173467,1.1038038757442077
22,1.269392402655351,1.4240755569827541,1.1147481737363292
23,1.2414639811787729,1.370836100374055,1.11124643190603
24,1.2064424662202493,1.3185674771063072,1.0960821699514158
25,1.1704214763310439,1.2722772779377745,1.0740174608667254
26,1.1379060151881526,1.2342226928498672,1.050036829248289
27,1.111412949860949,1.204531820594837,1.0281265647813922
28,1.0917525845895897,1.1821048072545266,1.0108322179684157
29,1.0786106705457608,1.1653244699504293,0.9993423575066124
30,1.0710799040654417,1.1525600676733854,0.993860637128457
31,1.068061200338708,1.1423125295360999,0.9939917564320964
32,1.0684674876831954,1.1331120378025836,0.9990546327886078
33,1.0712239414228175,1.1233313964913327,1.008301815380202
34,1.075133064410224,1.1110693203437845,1.0209752531281424
35,1.0787555215768547,1.094187532907409,1.036241813070773
36,1.0803338001633611,1.0705342176511978,1.05307942497932
37,1.0778651764100862,1.0382531511857174,1.0701745804656408
38,1.0692738307858975,0.9961045649486444,1.085872268785526
39,1.052676714090418,0.9437022306425326,1.0982575154205778
40,1.026656019998988,0.881620016006151,1.105308016422263
41,0.9904637109851269,0.8113421800744374,1.1051106393130714
42,0.9441467326831567,0.7350915847861352,1.096086668498299
43,0.888585715418129,0.6556091894998852,1.0772136413716924
44,0.825400445627769,0.5758242952583533,1.0481566145877816
45,0.7567699312565342,0.49851455910753206,1.0092819196065732
46,0.6851729977570744,0.4260310494304678,0.9615930589683478
47,0.6131321606991237,0.36009452913548734,0.9066422861596383
48,0.5429875591938044,0.3017274007801943,0.8463649774378776
49,0.47668528633833024,0.2512878878028245,0.7828905567997279
50,0.4156594324606692,0.20858197809148543,0.7183703577095206
51,0.36079153659535296,0.17301231227659958,0.6547791242630621
52,0.3124357454365848,0.14373633415613027,0.5937615364221381
53,0.2705055406329784,0.11980921404714533,0.5365568446514318
54,0.23458410556912276,0.1002897041508958,0.4839757535034475
55,0.2040505771742128,0.08431709977965893,0.4364377647148655
56,0.17818189688517083,0.07115204703658651,0.39402365260706707
57,0.1562319193992522,0.060190559777091694,0.3565475912900603
58,0.13749355141172298,0.050959963193602256,0.32362753712776976
59,0.12133532540699174,0.043103527420327296,0.2947420515953136
60,0.1072254280964354,0.03636054670363572,0.26929759562967276
61,0.09474136970538627,0.03054474094644326,0.24668997974020915
62,0.08356876495170519,0.025523852558567428,0.22635546796294828
63,0.07348991810650897,0.021201531399717824,0.20781044911232835
64,0.06436481128104665,0.017502591390882716,0.19067284866432893
65,0.056109360638953595,0.014362621455818594,0.17466925035842507
66,0.04867351190939145,0.011721574331387681,0.1596268814585957
67,0.04202244092113861,0.009520823846297011,0.1454548666170828
68,0.03612287852547881,0.007702756138783227,0.1321200949411292
69,0.0309351656347007,0.006211824210400716,0.11962286746141784
70,0.02641016944227387,0.004996067193762039,0.10797521352295594
71,0.022490125401448118,0.004008518864934443,0.09718547340642046
72,0.01911165102503499,0.0032081074746678063,0.08724906918076784
73,0.016209448803962377,0.0025599437140675996,0.07814427241781974
74,0.013719879484510191,0.002035109453512727,0.06983232298430954
75,0.01158373089220238,0.0016100828862870013,0.0622599685742181
76,0.009748005628560236,0.001265972664505831,0.055363275006664284
77,0.008166787485628867,0.000987702908662523,0.04907192260664962
78,0.006801384387807085,0.00076324823529976,0.04331362443434816
79,0.005619834706930543,0.0005829583803825711,0.038017569364855744
80,0.00459617760174836,0.0004390180276688623,0.03311784189432153
81,0.003709606322080313,0.0003250298922177342,0.028556591246693484
82,0.0029437230839497544,0.00023571144485358314,0.02428786157965937
83,0.002285981442626472,0.00016667885698243084,0.020282785953161096
84,0.001727259355876463,0.00011428582510520238,0.016536193714858052
85,0.0012613137660933073,7.548459580911019e-05,0.013072781374384274
86,0.00088372720568639,4.768668161217285e-05,0.009948023587823419
87,0.0005900574203153053,2.8623809517716248e-05,0.007236752135743513
88,0.00037358407997853507,1.6246175622762484e-05,0.005006903173166572
89,0.0002278799874910892,8.860109432541404e-06,0.0033470336899422215
90,0.00013261012126959364,4.5982660768843895e-06,0.002140360739996722
91,7.390593586727459e-05,2.28033452256063e-06,0.0013142356016297557
92,3.965115892547928e-05,1.0866115629306297e-06,0.0007787654831909551
93,2.0591542364722096e-05,5.006994539432084e-07,0.00044773016934099557
94,1.0404200282694073e-05,2.2469038601260364e-07,0.0002510002735883772
95,5.13762740915175e-06,9.909361441774028e-08,0.00013780077348633384
96,2.4889967412237515e-06,4.35887413450343e-08,7.435345405828637e-05
97,1.1871760397699477e-06,1.96720195372201e-08,3.954684171426695e-05
98,5.595607393909521e-07,9.604354861526756e-09,2.0787461286994133e-05
